set,algo,seed,iters,pair_parent,runtime_s,soft,hard,feasible,error
set5,tabu_cached,44,1000,tabu_cached,1.440736,6706,0,True,
set5,tabu_cuda,44,1000,tabu_cached,1.641647,6706,0,True,
set5,sa_cached,42,5000,sa_cached,1.934716,30571,0,True,
set5,sa_parallel_cuda,42,5000,sa_cached,0.447994,24497,19,False,
set5,sa_cached,43,5000,sa_cached,1.440027,25837,0,True,
set5,sa_parallel_cuda,43,5000,sa_cached,0.364428,24469,18,False,
set5,sa_cached,44,5000,sa_cached,1.281241,27401,0,True,
set5,sa_parallel_cuda,44,5000,sa_cached,0.325695,24778,18,False,
set5,alns_thompson,42,500,alns_thompson,1.424979,49762,0,True,
set5,alns_cuda,42,500,alns_thompson,1.913929,49762,0,True,
set5,alns_thompson,43,500,alns_thompson,1.247692,24041,0,True,
set5,alns_cuda,43,500,alns_thompson,3.262727,24041,0,True,
set5,alns_thompson,44,500,alns_thompson,4.01522,133876,0,True,
set5,alns_cuda,44,500,alns_thompson,4.312169,133876,0,True,
set5,ga,42,100,ga,3.545144,11369,0,True,
set5,ga_cuda,42,100,ga,4.705747,11369,0,True,
set5,ga,43,100,ga,3.278495,9597,0,True,
set5,ga_cuda,43,100,ga,5.622658,9597,0,True,
set5,ga,44,100,ga,2.733799,10911,0,True,
set5,ga_cuda,44,100,ga,4.529446,10911,0,True,
set5,abc,42,500,abc,5.930835,8493,0,True,
set5,abc_cuda,42,500,abc,5.032914,8493,0,True,
set5,abc,43,500,abc,5.856637,8124,0,True,
set5,abc_cuda,43,500,abc,5.177554,8124,0,True,
set5,abc,44,500,abc,5.239477,7616,0,True,
set5,abc_cuda,44,500,abc,5.340297,7616,0,True,
set5,hho,42,100,hho,6.082652,393153,0,True,
set5,hho_cuda,42,100,hho,5.144832,393153,0,True,
set5,hho,43,100,hho,6.336723,386482,0,True,
set5,hho_cuda,43,100,hho,6.050476,386482,0,True,
set5,hho,44,100,hho,5.930628,372070,0,True,
set5,hho_cuda,44,100,hho,5.789211,372070,0,True,
set5,woa,42,300,woa,3.665109,25205,0,True,
set5,woa_cuda,42,300,woa,3.797771,25205,0,True,
set5,woa,43,300,woa,4.282013,26689,0,True,
set5,woa_cuda,43,300,woa,3.704444,26689,0,True,
set5,woa,44,300,woa,3.63234,27902,0,True,
set5,woa_cuda,44,300,woa,4.724341,27902,0,True,
set7,tabu_cached,42,1000,tabu_cached,2.712177,9506,0,True,
set7,tabu_cuda,42,1000,tabu_cached,2.706527,9506,0,True,
