timestamp,dataset,trial,notes,num_exams,num_periods,num_rooms,num_students,conflict_density,num_period_constraints,num_room_constraints,algorithm,runtime,iterations,memory_peak_mb,solver_status,feasible,hard_violations,soft_penalty,conflicts,room_occupancy,period_utilisation,period_related,room_related,two_in_a_row,two_in_a_day,period_spread,non_mixed_durations,front_load,period_penalty,room_penalty,cfg_tabu_iters,cfg_tabu_tenure,cfg_hho_pop,cfg_hho_iters,cfg_sa_iters,cfg_kempe_iters,cfg_alns_iters,cfg_gd_iters,cfg_seed
2026-04-05T09:10:25.221659,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,Greedy,0.017389,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.221897,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,Tabu Search,3.822456,1000,0,,True,0,20226,0,0,0,0,0,3591,0,8395,1260,290,1040,5650,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.221976,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,HHO,7.265622,150,0,,True,0,18236,0,0,0,0,0,1932,0,6474,1060,280,640,7850,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.222055,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,Kempe Chain,2.517403,2000,0,,True,0,38493,0,0,0,0,0,12677,0,14881,1120,235,1730,7850,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.222150,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,Simulated Annealing,0.433272,3000,0,,True,0,17532,0,0,0,0,0,3626,0,7616,1160,270,910,3950,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.222255,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,ALNS,2.817743,1000,0,,True,0,31736,0,0,0,0,0,11949,0,13617,1300,250,1220,3400,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:25.222340,exam_comp_set1,0,,607,54,7,7883,0.0505,12,0,Great Deluge,0.823862,3000,0,,True,0,62318,0,0,0,0,0,25613,0,25320,1490,215,2330,7350,1000,20,30,150,3000,2000,1000,3000,42
2026-04-05T09:10:46.211221,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,Greedy,0.019794,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.211593,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,Tabu Search,2.934827,957,0,,True,0,18912,0,0,0,0,0,2513,0,8389,1370,300,940,5400,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.211740,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,HHO,9.310851,150,0,,True,0,17410,0,0,0,0,0,1561,0,6104,990,285,620,7850,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.211835,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,Kempe Chain,2.740503,2000,0,,True,0,42351,0,0,0,0,0,15036,0,16425,1160,250,1630,7850,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.211933,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,Simulated Annealing,0.992157,3000,0,,True,0,47031,0,0,0,0,0,16667,0,18239,1480,255,2090,8300,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.211998,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,ALNS,3.53263,1000,0,,True,0,32070,0,0,0,0,0,12194,0,13986,1220,250,1020,3400,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:10:46.212049,exam_comp_set1,1,,607,54,7,7883,0.0505,12,0,Great Deluge,1.381971,3000,0,,True,0,24970,0,0,0,0,0,7420,0,10100,1200,300,1300,4650,1000,20,30,150,3000,2000,1000,3000,1042
2026-04-05T09:11:08.487885,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,Greedy,0.020159,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488208,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,Tabu Search,2.333274,524,0,,True,0,51534,0,0,0,0,0,16842,0,22757,1530,235,2520,7650,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488304,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,HHO,10.259637,150,0,,True,0,18864,0,0,0,0,0,2184,0,6440,1120,260,1010,7850,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488364,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,Kempe Chain,4.034216,2000,0,,True,0,40822,0,0,0,0,0,14266,0,15936,980,250,1540,7850,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488417,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,Simulated Annealing,1.141556,3000,0,,True,0,64677,0,0,0,0,0,27118,0,25644,1430,215,2520,7750,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488515,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,ALNS,3.331646,1000,0,,True,0,33990,0,0,0,0,0,12992,0,14503,1320,255,1070,3850,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:08.488577,exam_comp_set1,2,,607,54,7,7883,0.0505,12,0,Great Deluge,1.07772,3000,0,,True,0,42202,0,0,0,0,0,16303,0,16449,1310,270,1870,6000,1000,20,30,150,3000,2000,1000,3000,2042
2026-04-05T09:11:26.180332,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,Greedy,0.021466,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180547,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,Tabu Search,3.140217,1000,0,,True,0,17194,0,0,0,0,0,1428,0,7901,1250,305,1010,5300,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180667,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,HHO,7.351133,150,0,,True,0,18948,0,0,0,0,0,2723,0,6435,960,250,730,7850,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180762,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,Kempe Chain,2.492,2000,0,,True,0,39444,0,0,0,0,0,13384,0,15300,1010,250,1650,7850,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180846,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,Simulated Annealing,0.629415,3000,0,,True,0,36355,0,0,0,0,0,12159,0,13681,1360,255,2050,6850,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180919,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,ALNS,2.970851,1000,0,,True,0,28999,0,0,0,0,0,10262,0,12542,1230,255,810,3900,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:26.180993,exam_comp_set1,3,,607,54,7,7883,0.0505,12,0,Great Deluge,0.923163,3000,0,,True,0,60327,0,0,0,0,0,25081,0,23796,1490,240,2370,7350,1000,20,30,150,3000,2000,1000,3000,3042
2026-04-05T09:11:41.733520,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,Greedy,0.018007,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.733746,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,Tabu Search,1.194622,545,0,,True,0,42513,0,0,0,0,0,11606,0,18907,1490,240,2570,7700,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.733830,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,HHO,7.396249,150,0,,True,0,16606,0,0,0,0,0,1022,0,5684,1030,270,750,7850,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.733904,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,Kempe Chain,2.510091,2000,0,,True,0,45174,0,0,0,0,0,17521,0,16773,1050,250,1730,7850,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.733959,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,Simulated Annealing,0.76812,3000,0,,True,0,41896,0,0,0,0,0,14938,0,16208,1400,250,1950,7150,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.734003,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,ALNS,2.805968,1000,0,,True,0,24703,0,0,0,0,0,7630,0,11448,1290,255,830,3250,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:41.734049,exam_comp_set1,4,,607,54,7,7883,0.0505,12,0,Great Deluge,0.795418,3000,0,,True,0,67568,0,0,0,0,0,28147,0,27361,1480,210,2570,7800,1000,20,30,150,3000,2000,1000,3000,4042
2026-04-05T09:11:59.319701,exam_comp_set1,5,,607,54,7,7883,0.0505,12,0,Greedy,0.018178,0,0,,True,0,68678,0,0,0,0,0,28672,0,27876,1500,210,2570,7850,1000,20,30,150,3000,2000,1000,3000,5042
2026-04-05T09:11:59.319896,exam_comp_set1,5,,607,54,7,7883,0.0505,12,0,Tabu Search,3.255717,590,0,,True,0,29798,0,0,0,0,0,5012,0,14016,1440,280,2000,7050,1000,20,30,150,3000,2000,1000,3000,5042
2026-04-05T09:11:59.319972,exam_comp_set1,5,,607,54,7,7883,0.0505,12,0,HHO,6.918714,150,0,,True,0,16468,0,0,0,0,0,728,0,5955,1090,255,590,7850,1000,20,30,150,3000,2000,1000,3000,5042
