algorithm,dataset,seed,soft_penalty,two_in_a_row,two_in_a_day,period_spread,non_mixed_durations,front_load,period_penalty,room_penalty
Kempe Chain,exam_comp_set8,42,14884,0,0,11512,2150,450,467,305
Kempe Chain,exam_comp_set8,43,14904,0,0,11467,2150,465,512,310
Kempe Chain,exam_comp_set8,44,15380,0,0,12011,2125,460,469,315
Kempe Chain,exam_comp_set8,45,14678,0,0,11143,2250,430,525,330
Kempe Chain,exam_comp_set8,46,14748,0,0,11244,2250,410,504,340
Kempe Chain,exam_comp_set8,47,14826,0,0,11187,2325,445,489,380
Kempe Chain,exam_comp_set8,48,15043,0,0,11561,2200,440,522,320
LAHC,exam_comp_set1,42,15964,4592,0,6857,1230,295,740,2250
LAHC,exam_comp_set1,43,15818,3885,0,7403,1270,280,780,2200
LAHC,exam_comp_set1,44,14420,3150,0,6700,1160,280,980,2150
LAHC,exam_comp_set1,45,16668,4865,0,6973,1210,280,790,2550
LAHC,exam_comp_set1,46,15642,3745,0,7397,1320,270,760,2150
LAHC,exam_comp_set1,47,12366,1085,0,6711,1320,270,930,2050
LAHC,exam_comp_set1,48,15988,4487,0,6586,1360,275,1080,2200
LAHC,exam_comp_set2,42,3539,15,70,14,2075,765,600,0
LAHC,exam_comp_set2,43,4019,15,110,49,2175,720,950,0
LAHC,exam_comp_set2,44,3869,105,270,114,1850,730,800,0
LAHC,exam_comp_set2,45,4281,45,120,71,2300,745,1000,0
LAHC,exam_comp_set2,46,4091,30,120,31,2300,710,900,0
LAHC,exam_comp_set2,47,4213,75,170,48,2075,745,1100,0
LAHC,exam_comp_set2,48,3650,90,40,50,1975,745,750,0
LAHC,exam_comp_set3,42,34655,13305,5360,12230,2220,980,560,0
LAHC,exam_comp_set3,43,31082,7965,5370,13537,2500,1080,630,0
LAHC,exam_comp_set3,44,32275,9990,6690,11905,2160,1000,530,0
LAHC,exam_comp_set3,45,37326,14835,6690,11861,2400,1010,530,0
LAHC,exam_comp_set3,46,37870,13050,8520,12710,2120,930,540,0
LAHC,exam_comp_set3,47,32128,6945,8490,13073,2000,1030,590,0
LAHC,exam_comp_set3,48,29278,10575,3940,10833,2240,1110,580,0
LAHC,exam_comp_set4,42,27695,15345,4495,5935,0,120,1800,0
LAHC,exam_comp_set4,43,26804,12852,4400,6517,0,135,2900,0
LAHC,exam_comp_set4,44,37379,22860,4160,6924,0,135,3300,0
LAHC,exam_comp_set4,45,38702,22734,4725,7738,0,155,3350,0
LAHC,exam_comp_set4,46,22185,8307,5405,4993,0,130,3350,0
LAHC,exam_comp_set4,47,38771,21906,3445,7180,0,140,6100,0
LAHC,exam_comp_set4,48,36624,19521,6665,6968,0,120,3350,0
LAHC,exam_comp_set5,42,12577,120,150,5107,0,1650,5550,0
LAHC,exam_comp_set5,43,12234,520,0,4884,0,1630,5200,0
LAHC,exam_comp_set5,44,12250,520,195,4765,0,1670,5100,0
LAHC,exam_comp_set5,45,11392,120,120,4822,0,1580,4750,0
LAHC,exam_comp_set5,46,13331,1520,90,5761,0,1610,4350,0
LAHC,exam_comp_set5,47,14934,1800,210,5204,0,1670,6050,0
LAHC,exam_comp_set5,48,13531,1520,0,4951,0,1660,5400,0
LAHC,exam_comp_set6,42,32395,9060,0,19900,1125,375,485,1450
LAHC,exam_comp_set6,43,36835,13200,0,19900,1225,375,485,1650
LAHC,exam_comp_set6,44,33275,9780,0,19900,1125,375,595,1500
LAHC,exam_comp_set6,45,30385,6820,0,19900,1125,375,565,1600
LAHC,exam_comp_set6,46,31645,7740,0,19900,1400,375,630,1600
LAHC,exam_comp_set6,47,31220,7740,0,19900,1075,375,580,1550
LAHC,exam_comp_set6,48,35645,12180,0,19900,1250,375,590,1350
LAHC,exam_comp_set7,42,12827,50,0,8887,2550,690,650,0
LAHC,exam_comp_set7,43,12918,125,0,8883,2610,700,600,0
LAHC,exam_comp_set7,44,13424,100,0,8839,2775,710,1000,0
LAHC,exam_comp_set7,45,12956,125,0,8756,2265,760,1050,0
LAHC,exam_comp_set7,46,12719,0,0,8464,2385,620,1250,0
LAHC,exam_comp_set7,47,12831,25,0,8676,2580,650,900,0
LAHC,exam_comp_set7,48,13176,100,0,8856,2670,700,850,0
LAHC,exam_comp_set8,42,15036,0,0,11338,2600,415,413,270
LAHC,exam_comp_set8,43,15076,0,0,11252,2600,435,494,295
LAHC,exam_comp_set8,44,14913,0,0,11137,2725,450,421,180
LAHC,exam_comp_set8,45,15425,0,0,11326,3075,400,404,220
LAHC,exam_comp_set8,46,15890,0,0,11945,2825,455,465,200
LAHC,exam_comp_set8,47,15080,0,0,11250,2700,415,460,255
LAHC,exam_comp_set8,48,14995,0,0,11189,2625,435,516,230
Multi-Neighbourhood SA,exam_comp_set1,42,17029,4144,0,7670,1280,255,1380,2300
Multi-Neighbourhood SA,exam_comp_set1,43,16628,4424,0,7304,1360,260,1180,2100
Multi-Neighbourhood SA,exam_comp_set1,44,15333,3066,0,7262,1330,295,1030,2350
Multi-Neighbourhood SA,exam_comp_set1,45,16049,3857,0,7207,1290,285,910,2500
Multi-Neighbourhood SA,exam_comp_set1,46,18347,5404,0,7748,1300,255,1190,2450
Multi-Neighbourhood SA,exam_comp_set1,47,15881,3059,0,7547,1200,285,1490,2300
Multi-Neighbourhood SA,exam_comp_set1,48,14478,2226,0,7337,1210,265,1190,2250
Multi-Neighbourhood SA,exam_comp_set2,42,6962,510,620,272,2225,835,2500,0
Multi-Neighbourhood SA,exam_comp_set2,43,6680,825,350,440,2225,840,2000,0
Multi-Neighbourhood SA,exam_comp_set2,44,6763,900,875,278,2125,835,1750,0
Multi-Neighbourhood SA,exam_comp_set2,45,7098,690,300,368,2300,840,2600,0
Multi-Neighbourhood SA,exam_comp_set2,46,6160,390,465,300,2150,805,2050,0
Multi-Neighbourhood SA,exam_comp_set2,47,6307,555,565,447,1925,815,2000,0
Multi-Neighbourhood SA,exam_comp_set2,48,6320,510,400,260,2250,850,2050,0
Multi-Neighbourhood SA,exam_comp_set3,42,36523,13245,6000,13418,2200,1020,640,0
Multi-Neighbourhood SA,exam_comp_set3,43,39206,14940,6270,13956,2320,1060,660,0
Multi-Neighbourhood SA,exam_comp_set3,44,44813,17745,8150,15138,2200,1000,580,0
Multi-Neighbourhood SA,exam_comp_set3,45,42533,18330,6890,13253,2460,1010,590,0
Multi-Neighbourhood SA,exam_comp_set3,46,40605,15240,7320,13945,2360,1100,640,0
Multi-Neighbourhood SA,exam_comp_set3,47,35223,9915,6980,14468,2100,1090,670,0
Multi-Neighbourhood SA,exam_comp_set3,48,45474,17460,10530,13474,2380,970,660,0
Multi-Neighbourhood SA,exam_comp_set4,42,23112,10062,4805,4965,0,130,3150,0
Multi-Neighbourhood SA,exam_comp_set4,43,37655,20538,4685,7482,0,150,4800,0
Multi-Neighbourhood SA,exam_comp_set4,44,36605,20448,4310,7067,0,130,4650,0
Multi-Neighbourhood SA,exam_comp_set4,45,38016,20232,6370,7299,0,115,4000,0
Multi-Neighbourhood SA,exam_comp_set4,46,24781,9846,4700,5885,0,100,4250,0
Multi-Neighbourhood SA,exam_comp_set4,47,29140,13257,4260,5948,0,125,5550,0
Multi-Neighbourhood SA,exam_comp_set4,48,36269,22140,4040,7094,0,145,2850,0
Multi-Neighbourhood SA,exam_comp_set5,42,31400,1880,1590,7430,0,1650,18850,0
Multi-Neighbourhood SA,exam_comp_set5,43,28715,2040,1005,7730,0,1690,16250,0
Multi-Neighbourhood SA,exam_comp_set5,44,27583,1800,900,7323,0,1710,15850,0
Multi-Neighbourhood SA,exam_comp_set5,45,31515,2360,975,8350,0,1680,18150,0
Multi-Neighbourhood SA,exam_comp_set5,46,29365,2800,1365,7750,0,1700,15750,0
Multi-Neighbourhood SA,exam_comp_set5,47,29302,1040,1320,7992,0,1700,17250,0
Multi-Neighbourhood SA,exam_comp_set5,48,27274,2640,1245,7789,0,1650,13950,0
Multi-Neighbourhood SA,exam_comp_set6,42,35255,11380,0,19900,1325,375,675,1600
Multi-Neighbourhood SA,exam_comp_set6,43,32140,8460,0,19900,1150,375,655,1600
Multi-Neighbourhood SA,exam_comp_set6,44,33765,10040,0,19900,1200,375,700,1550
Multi-Neighbourhood SA,exam_comp_set6,45,31480,7740,0,19900,1275,375,690,1500
Multi-Neighbourhood SA,exam_comp_set6,46,31340,7440,0,19900,1150,375,725,1750
Multi-Neighbourhood SA,exam_comp_set6,47,33920,10080,0,19900,1300,375,715,1550
Multi-Neighbourhood SA,exam_comp_set6,48,34110,10220,0,19900,1300,375,665,1650
Multi-Neighbourhood SA,exam_comp_set7,42,22373,2300,0,12178,2745,750,4400,0
Multi-Neighbourhood SA,exam_comp_set7,43,22034,2125,0,12709,2550,750,3900,0
Multi-Neighbourhood SA,exam_comp_set7,44,21861,1825,0,12216,2610,810,4400,0
Multi-Neighbourhood SA,exam_comp_set7,45,20996,1525,0,11106,2475,740,5150,0
Multi-Neighbourhood SA,exam_comp_set7,46,21418,1350,0,12798,2700,770,3800,0
Multi-Neighbourhood SA,exam_comp_set7,47,21820,1575,0,11685,2580,680,5300,0
Multi-Neighbourhood SA,exam_comp_set7,48,22320,1650,0,12940,2640,840,4250,0
Multi-Neighbourhood SA,exam_comp_set8,42,19400,300,0,14883,3100,435,432,250
Multi-Neighbourhood SA,exam_comp_set8,43,20012,600,0,15422,2825,445,465,255
Multi-Neighbourhood SA,exam_comp_set8,44,20290,1200,0,15061,2825,450,564,190
Multi-Neighbourhood SA,exam_comp_set8,45,18658,300,0,14266,2825,465,462,340
Multi-Neighbourhood SA,exam_comp_set8,46,20556,450,0,15796,3050,485,535,240
Multi-Neighbourhood SA,exam_comp_set8,47,20291,1500,0,14499,3125,440,482,245
Multi-Neighbourhood SA,exam_comp_set8,48,20473,1200,0,14929,3000,435,644,265
Tabu Search,exam_comp_set1,42,8373,889,0,4344,1360,260,420,1100
Tabu Search,exam_comp_set1,43,8535,469,0,4716,1310,270,420,1350
Tabu Search,exam_comp_set1,44,8916,805,0,4816,1350,275,270,1400
Tabu Search,exam_comp_set1,45,8966,1029,0,4897,1240,280,320,1200
Tabu Search,exam_comp_set1,46,9257,784,0,5133,1370,280,390,1300
Tabu Search,exam_comp_set1,47,8768,1022,0,4496,1360,270,220,1400
Tabu Search,exam_comp_set1,48,8365,462,0,4643,1260,280,420,1300
Tabu Search,exam_comp_set2,42,2634,15,65,4,1900,550,100,0
Tabu Search,exam_comp_set2,43,2582,15,20,2,1900,545,100,0
Tabu Search,exam_comp_set2,44,2922,15,140,17,2225,525,0,0
Tabu Search,exam_comp_set2,45,2900,0,15,0,2250,535,100,0
Tabu Search,exam_comp_set2,46,2803,15,40,23,2075,550,100,0
Tabu Search,exam_comp_set2,47,2567,0,30,12,2000,525,0,0
Tabu Search,exam_comp_set2,48,2775,0,60,5,2175,535,0,0
Tabu Search,exam_comp_set3,42,34479,13410,4390,12649,2340,1130,560,0
Tabu Search,exam_comp_set3,43,24266,6405,4550,9071,2500,1110,630,0
Tabu Search,exam_comp_set3,44,23000,6225,4930,7925,2500,1110,310,0
Tabu Search,exam_comp_set3,45,22851,6180,4170,8391,2740,1040,330,0
Tabu Search,exam_comp_set3,46,24108,6705,4760,8623,2640,1000,380,0
Tabu Search,exam_comp_set3,47,28699,8010,5400,11459,2040,1120,670,0
Tabu Search,exam_comp_set3,48,21505,6375,3540,7710,2460,1060,360,0
Tabu Search,exam_comp_set4,42,35994,21609,5505,6525,0,105,2250,0
Tabu Search,exam_comp_set4,43,30091,10287,11375,6189,0,140,2100,0
Tabu Search,exam_comp_set4,44,36667,21042,3850,7580,0,145,4050,0
Tabu Search,exam_comp_set4,45,34162,20331,4135,7231,0,115,2350,0
Tabu Search,exam_comp_set4,46,21214,8730,4305,5514,0,115,2550,0
Tabu Search,exam_comp_set4,47,39167,22671,5905,7296,0,145,3150,0
Tabu Search,exam_comp_set4,48,34847,19755,4480,6887,0,125,3600,0
Tabu Search,exam_comp_set5,42,4922,80,150,2552,0,1540,600,0
Tabu Search,exam_comp_set5,43,5615,520,60,2625,0,1560,850,0
Tabu Search,exam_comp_set5,44,5637,640,0,2507,0,1540,950,0
Tabu Search,exam_comp_set5,45,5285,160,15,2370,0,1640,1100,0
Tabu Search,exam_comp_set5,46,6183,1440,15,2458,0,1570,700,0
Tabu Search,exam_comp_set5,47,6741,1800,150,2591,0,1550,650,0
Tabu Search,exam_comp_set5,48,6140,1560,30,2500,0,1550,500,0
Tabu Search,exam_comp_set6,42,29810,6580,0,19900,975,375,480,1500
Tabu Search,exam_comp_set6,43,30500,7240,0,19900,950,375,435,1600
Tabu Search,exam_comp_set6,44,32425,9200,0,19900,1000,375,500,1450
Tabu Search,exam_comp_set6,45,30625,7260,0,19900,1000,375,490,1600
Tabu Search,exam_comp_set6,46,29845,6560,0,19900,975,375,435,1600
Tabu Search,exam_comp_set6,47,31250,7960,0,19900,1000,375,515,1500
Tabu Search,exam_comp_set6,48,30675,7460,0,19900,950,375,490,1500
Tabu Search,exam_comp_set7,42,8138,50,0,5018,2550,520,0,0
Tabu Search,exam_comp_set7,43,8228,50,0,5053,2565,560,0,0
Tabu Search,exam_comp_set7,44,7921,0,0,4831,2550,540,0,0
Tabu Search,exam_comp_set7,45,8111,50,0,4856,2595,610,0,0
Tabu Search,exam_comp_set7,46,7854,0,0,4854,2430,570,0,0
Tabu Search,exam_comp_set7,47,8045,0,0,4885,2520,540,100,0
Tabu Search,exam_comp_set7,48,8001,0,0,4966,2475,560,0,0
Tabu Search,exam_comp_set8,42,12861,0,0,8906,3000,410,340,205
Tabu Search,exam_comp_set8,43,13188,0,0,9475,2750,415,378,170
Tabu Search,exam_comp_set8,44,12725,0,0,9043,2725,405,357,195
Tabu Search,exam_comp_set8,45,12918,0,0,9208,2775,395,380,160
Tabu Search,exam_comp_set8,46,13859,300,0,9548,2950,395,436,230
Tabu Search,exam_comp_set8,47,12667,0,0,8911,2800,380,336,240
Tabu Search,exam_comp_set8,48,12588,0,0,8918,2675,425,355,215
GVNS,exam_comp_set1,42,11317,1855,0,5982,1130,260,540,1550
GVNS,exam_comp_set1,43,9904,238,0,6116,1170,260,370,1750
GVNS,exam_comp_set1,44,10314,721,0,5858,1150,265,520,1800
GVNS,exam_comp_set1,45,11618,2135,0,5963,1120,260,490,1650
GVNS,exam_comp_set1,46,10560,798,0,6182,1090,250,490,1750
GVNS,exam_comp_set1,47,9846,196,0,6225,1100,235,440,1650
GVNS,exam_comp_set1,48,10738,735,0,6108,1190,285,470,1950
GVNS,exam_comp_set2,42,2486,0,80,6,1650,700,50,0
GVNS,exam_comp_set2,43,2151,0,35,1,1425,590,100,0
GVNS,exam_comp_set2,44,2766,15,25,11,2025,640,50,0
GVNS,exam_comp_set2,45,2258,30,55,3,1475,595,100,0
GVNS,exam_comp_set2,46,2352,0,25,2,1700,625,0,0
GVNS,exam_comp_set2,47,2278,15,75,8,1525,655,0,0
GVNS,exam_comp_set2,48,2257,15,45,2,1550,645,0,0
GVNS,exam_comp_set3,42,22745,6945,3590,8760,2040,1010,400,0
GVNS,exam_comp_set3,43,22351,6225,3830,8626,2200,1040,430,0
GVNS,exam_comp_set3,44,21439,4860,4420,8669,2160,990,340,0
GVNS,exam_comp_set3,45,21562,6360,3740,8182,1820,1060,400,0
GVNS,exam_comp_set3,46,22504,7125,3960,8359,1780,1020,260,0
GVNS,exam_comp_set3,47,21487,4635,4690,8862,1860,1010,430,0
GVNS,exam_comp_set3,48,21499,5895,3740,8424,2000,1020,420,0
GVNS,exam_comp_set4,42,20042,9702,3395,4950,0,95,1900,0
GVNS,exam_comp_set4,43,27512,10071,8890,6491,0,160,1900,0
GVNS,exam_comp_set4,44,23859,12258,3060,5216,0,125,3200,0
GVNS,exam_comp_set4,45,22896,10107,4290,5579,0,120,2800,0
GVNS,exam_comp_set4,46,21667,10188,3880,5179,0,120,2300,0
GVNS,exam_comp_set4,47,28260,8451,9885,7154,0,120,2650,0
GVNS,exam_comp_set4,48,32896,18990,3555,6671,0,130,3550,0
GVNS,exam_comp_set5,42,5512,40,150,2782,0,1590,950,0
GVNS,exam_comp_set5,43,5411,440,0,2491,0,1530,950,0
GVNS,exam_comp_set5,44,5379,40,45,2844,0,1550,900,0
GVNS,exam_comp_set5,45,5930,80,0,2940,0,1560,1350,0
GVNS,exam_comp_set5,46,5351,40,0,2811,0,1550,950,0
GVNS,exam_comp_set5,47,5521,40,150,2961,0,1570,800,0
GVNS,exam_comp_set5,48,4865,0,0,2455,0,1560,850,0
GVNS,exam_comp_set6,42,31565,8340,0,19900,875,375,525,1550
GVNS,exam_comp_set6,43,31830,8560,0,19900,800,375,495,1700
GVNS,exam_comp_set6,44,32460,9320,0,19900,750,375,515,1600
GVNS,exam_comp_set6,45,34745,11580,0,19900,800,375,490,1600
GVNS,exam_comp_set6,46,30685,7500,0,19900,925,375,535,1450
GVNS,exam_comp_set6,47,30775,7540,0,19900,800,375,560,1600
GVNS,exam_comp_set6,48,29380,6260,0,19900,875,375,470,1500
GVNS,exam_comp_set7,42,9955,50,0,6855,2370,630,0,50
GVNS,exam_comp_set7,43,9539,25,0,6174,2640,600,100,0
GVNS,exam_comp_set7,44,9393,75,0,6243,2445,530,100,0
GVNS,exam_comp_set7,45,9210,0,0,6580,2100,530,0,0
GVNS,exam_comp_set7,46,8931,25,0,5791,2445,570,100,0
GVNS,exam_comp_set7,47,9457,75,0,6267,2445,570,100,0
GVNS,exam_comp_set7,48,9014,25,0,5954,2445,590,0,0
GVNS,exam_comp_set8,42,13830,0,0,10124,2625,425,446,210
GVNS,exam_comp_set8,43,13788,0,0,9985,2750,425,408,220
GVNS,exam_comp_set8,44,13893,0,0,10322,2500,420,351,300
GVNS,exam_comp_set8,45,14286,0,0,10431,2850,365,435,205
GVNS,exam_comp_set8,46,14451,0,0,11107,2450,370,354,170
GVNS,exam_comp_set8,47,13866,0,0,10137,2725,380,374,250
GVNS,exam_comp_set8,48,13674,0,0,10120,2550,430,394,180
WOA,exam_comp_set1,42,13097,2842,0,6025,1260,280,540,2150
WOA,exam_comp_set1,43,13334,2660,0,6434,1190,260,740,2050
WOA,exam_comp_set1,44,13479,2695,0,6334,1290,300,810,2050
WOA,exam_comp_set1,45,12608,2303,0,6090,1100,295,570,2250
WOA,exam_comp_set1,46,15188,3780,0,6773,1250,255,930,2200
WOA,exam_comp_set1,47,14440,3906,0,6219,1340,265,760,1950
WOA,exam_comp_set1,48,14885,3969,0,6541,1220,295,610,2250
WOA,exam_comp_set2,42,3971,0,95,11,2250,705,900,10
WOA,exam_comp_set2,43,3454,30,65,24,2050,725,550,10
WOA,exam_comp_set2,44,3451,30,110,6,1875,720,700,10
WOA,exam_comp_set2,45,3784,30,85,24,2125,710,800,10
WOA,exam_comp_set2,46,3811,30,75,106,2025,715,850,10
WOA,exam_comp_set2,47,3124,75,70,29,1850,750,350,0
WOA,exam_comp_set2,48,3448,45,120,13,1950,720,600,0
WOA,exam_comp_set3,42,29374,9960,3940,11834,2140,1080,420,0
WOA,exam_comp_set3,43,28741,7965,5230,11496,2480,1030,540,0
WOA,exam_comp_set3,44,31050,8190,7210,11600,2500,1070,480,0
WOA,exam_comp_set3,45,30915,9765,6050,11190,2400,1010,500,0
WOA,exam_comp_set3,46,34492,12915,5350,12437,2320,970,500,0
WOA,exam_comp_set3,47,30116,7185,6860,12521,2060,960,530,0
WOA,exam_comp_set3,48,31134,8160,6580,12204,2600,980,520,90
WOA,exam_comp_set4,42,27515,14931,4425,6049,0,110,2000,0
WOA,exam_comp_set4,43,36259,20574,4175,7160,0,150,4200,0
WOA,exam_comp_set4,44,39883,24615,4545,7418,0,155,3150,0
WOA,exam_comp_set4,45,38364,20727,5785,7272,0,130,4450,0
WOA,exam_comp_set4,46,25425,9711,4810,5924,0,130,4850,0
WOA,exam_comp_set4,47,36877,21555,3860,6517,0,145,4800,0
WOA,exam_comp_set4,48,39323,21555,5005,7638,0,125,5000,0
WOA,exam_comp_set5,42,11207,240,195,3832,0,1590,5350,0
WOA,exam_comp_set5,43,10311,440,45,4056,0,1620,4150,0
WOA,exam_comp_set5,44,10835,600,15,4190,0,1630,4400,0
WOA,exam_comp_set5,45,11079,120,60,4429,0,1620,4850,0
WOA,exam_comp_set5,46,11736,1640,45,4461,0,1640,3950,0
WOA,exam_comp_set5,47,11022,1760,150,3962,0,1600,3550,0
WOA,exam_comp_set5,48,11410,1520,60,4360,0,1670,3800,0
WOA,exam_comp_set6,42,33160,9720,0,19900,1125,375,590,1450
WOA,exam_comp_set6,43,36030,12640,0,19900,1100,375,565,1450
WOA,exam_comp_set6,44,34075,10500,0,19900,1050,375,600,1650
WOA,exam_comp_set6,45,33305,9920,0,19900,1125,375,535,1450
WOA,exam_comp_set6,46,30840,7480,0,19900,1025,375,560,1500
WOA,exam_comp_set6,47,32190,8580,0,19900,1175,375,610,1550
WOA,exam_comp_set6,48,32520,9120,0,19900,1125,375,600,1400
WOA,exam_comp_set7,42,10664,50,0,7289,2175,700,400,50
WOA,exam_comp_set7,43,10402,75,0,6937,2190,650,550,0
WOA,exam_comp_set7,44,10065,75,0,6710,2280,750,250,0
WOA,exam_comp_set7,45,10025,0,0,6710,2265,700,300,50
WOA,exam_comp_set7,46,10746,25,0,7251,2430,640,400,0
WOA,exam_comp_set7,47,10424,50,0,7324,2310,610,100,30
WOA,exam_comp_set7,48,10378,25,0,7028,2385,610,300,30
WOA,exam_comp_set8,42,15014,0,0,10920,3025,405,444,220
WOA,exam_comp_set8,43,14985,0,0,11059,2850,415,411,250
WOA,exam_comp_set8,44,13686,0,0,9968,2575,410,448,285
WOA,exam_comp_set8,45,14328,0,0,10516,2825,390,372,225
WOA,exam_comp_set8,46,14093,0,0,10020,2925,430,448,270
WOA,exam_comp_set8,47,13691,0,0,9859,2725,415,407,285
WOA,exam_comp_set8,48,14528,0,0,10543,2875,420,435,255
