algorithm,param_col,param_value,dataset,seed,soft_penalty,runtime,feasible,hard,status,wall
ga,ga_pop,200,synthetic_scaling_1000,44,9508,45.786528,True,0,ok,54.12
ga,ga_iters,707,synthetic_scaling_1000,42,15647,7.262425,True,0,ok,15.04
ga,ga_iters,707,synthetic_scaling_1000,43,12692,7.26882,True,0,ok,14.85
ga,ga_iters,707,synthetic_scaling_1000,44,12170,7.900999,True,0,ok,15.97
ga,ga_iters,1880,synthetic_scaling_1000,42,15647,18.966908,True,0,ok,27.23
ga,ga_iters,1880,synthetic_scaling_1000,43,12692,19.71347,True,0,ok,27.83
ga,ga_iters,1880,synthetic_scaling_1000,44,12170,19.117361,True,0,ok,27.35
gd,gd_iters,1000,synthetic_scaling_1000,42,78444,0.371079,True,0,ok,8.27
gd,gd_iters,1000,synthetic_scaling_1000,43,52810,0.613769,True,0,ok,9.03
gd,gd_iters,1000,synthetic_scaling_1000,44,54660,0.585139,True,0,ok,9.0
gd,gd_iters,2659,synthetic_scaling_1000,42,78444,1.066868,True,0,ok,9.6
ga,ga_iters,5000,synthetic_scaling_1000,42,15647,53.657918,True,0,ok,60.69
alns,alns_iters,20000,synthetic_scaling_1000,42,20096,407.191209,True,0,ok,415.4
gd,gd_iters,2659,synthetic_scaling_1000,43,52810,1.173066,True,0,ok,9.23
gd,gd_iters,2659,synthetic_scaling_1000,44,47394,1.300403,True,0,ok,9.26
gd,gd_iters,7071,synthetic_scaling_1000,42,78444,2.521773,True,0,ok,10.62
ga,ga_iters,5000,synthetic_scaling_1000,43,12692,52.809933,True,0,ok,60.39
gd,gd_iters,7071,synthetic_scaling_1000,43,52810,2.781328,True,0,ok,11.2
ga,ga_iters,5000,synthetic_scaling_1000,44,12170,53.383298,True,0,ok,61.17
gd,gd_iters,7071,synthetic_scaling_1000,44,47394,2.711707,True,0,ok,10.72
gd,gd_iters,18803,synthetic_scaling_1000,42,78444,7.094154,True,0,ok,15.22
gd,gd_iters,18803,synthetic_scaling_1000,43,52810,6.690854,True,0,ok,14.4
gd,gd_iters,18803,synthetic_scaling_1000,44,47394,6.229034,True,0,ok,14.06
kempe,kempe_iters,500,synthetic_scaling_1000,42,57545,0.903357,True,0,ok,9.15
kempe,kempe_iters,500,synthetic_scaling_1000,43,45744,0.708573,True,0,ok,8.76
gd,gd_iters,50000,synthetic_scaling_1000,42,78444,17.776245,True,0,ok,25.53
gd,gd_iters,50000,synthetic_scaling_1000,43,52810,19.222831,True,0,ok,26.83
kempe,kempe_iters,500,synthetic_scaling_1000,44,45006,0.79349,True,0,ok,9.06
kempe,kempe_iters,1257,synthetic_scaling_1000,42,37095,1.890804,True,0,ok,9.97
kempe,kempe_iters,1257,synthetic_scaling_1000,43,30248,2.235975,True,0,ok,10.17
gd,gd_iters,50000,synthetic_scaling_1000,44,47394,18.193108,True,0,ok,26.25
kempe,kempe_iters,1257,synthetic_scaling_1000,44,24015,1.979688,True,0,ok,9.75
kempe,kempe_iters,3162,synthetic_scaling_1000,42,22979,5.335866,True,0,ok,13.36
kempe,kempe_iters,3162,synthetic_scaling_1000,43,17675,5.331662,True,0,ok,13.36
kempe,kempe_iters,3162,synthetic_scaling_1000,44,15703,4.32938,True,0,ok,12.39
kempe,kempe_iters,7953,synthetic_scaling_1000,42,13996,11.117408,True,0,ok,19.35
kempe,kempe_iters,7953,synthetic_scaling_1000,43,11944,11.770167,True,0,ok,19.96
kempe,kempe_iters,7953,synthetic_scaling_1000,44,11524,11.619043,True,0,ok,19.18
lahc,lahc_iters,1000,synthetic_scaling_1000,42,48446,0.757248,True,0,ok,8.92
lahc,lahc_iters,1000,synthetic_scaling_1000,43,41938,0.689851,True,0,ok,8.57
lahc,lahc_iters,1000,synthetic_scaling_1000,44,41646,0.499293,True,0,ok,8.53
