algorithm,num_exams,seed,soft_penalty,runtime,feasible,hard
CP-SAT B&B,200,44,28191,6.210949,False,236
CP-SAT B&B,250,42,29576,9.219988,False,51
CP-SAT B&B,250,43,31159,9.874907,False,23
CP-SAT B&B,250,44,28697,10.912446,False,49
CP-SAT B&B,300,42,25970,9.182926,False,4
CP-SAT B&B,300,43,26161,9.267478,False,18
CP-SAT B&B,300,44,25225,8.73911,False,6
CP-SAT B&B,350,42,17333,6.348457,False,2
CP-SAT B&B,350,43,16987,5.578723,False,2
CP-SAT B&B,350,44,18436,5.213469,False,2
CP-SAT B&B,400,42,13289,0.820829,True,0
CP-SAT B&B,400,43,13507,0.709419,True,0
CP-SAT B&B,400,44,12702,0.918925,True,0
CP-SAT B&B,450,42,14895,1.302303,True,0
CP-SAT B&B,450,43,13936,1.362993,True,0
CP-SAT B&B,450,44,17543,1.244384,True,0
CP-SAT B&B,500,42,10642,1.452768,True,0
CP-SAT B&B,500,43,10509,1.36589,True,0
CP-SAT B&B,500,44,10739,1.177464,True,0
CP-SAT B&B,50,42,11438,1.71805,False,395
CP-SAT B&B,50,43,14091,1.627856,False,397
CP-SAT B&B,50,44,11460,1.622518,False,397
CP-SAT B&B,550,42,10955,1.622635,True,0
CP-SAT B&B,550,43,9480,1.550616,True,0
CP-SAT B&B,550,44,9098,1.331848,True,0
CP-SAT B&B,600,42,8095,1.893135,True,0
CP-SAT B&B,600,43,9683,1.686055,True,0
CP-SAT B&B,600,44,9895,1.508775,True,0
CP-SAT B&B,650,42,7809,1.915641,True,0
CP-SAT B&B,650,43,8984,2.005634,True,0
CP-SAT B&B,650,44,8498,1.91397,True,0
CP-SAT B&B,700,42,9089,2.553406,True,0
CP-SAT B&B,700,43,8209,2.543336,True,0
CP-SAT B&B,700,44,8297,2.384277,True,0
CP-SAT B&B,750,42,6036,2.661154,True,0
CP-SAT B&B,750,43,5762,2.883844,True,0
CP-SAT B&B,750,44,5352,2.731395,True,0
CP-SAT B&B,800,42,6881,2.580941,True,0
CP-SAT B&B,800,43,11381,2.718822,True,0
CP-SAT B&B,800,44,8006,2.769276,True,0
CP-SAT B&B,850,42,8300,3.629723,True,0
CP-SAT B&B,850,43,7902,3.619406,True,0
CP-SAT B&B,850,44,9080,2.732144,True,0
CP-SAT B&B,900,42,6474,3.4859,True,0
CP-SAT B&B,900,43,7243,3.164487,True,0
CP-SAT B&B,900,44,6178,3.376218,True,0
CP-SAT B&B,950,42,5157,4.381534,True,0
CP-SAT B&B,950,43,6101,3.771779,True,0
CP-SAT B&B,950,44,5223,3.949482,True,0
Genetic Algorithm,1000,42,15647,5.197737,True,0
Genetic Algorithm,1000,43,12692,4.642516,True,0
Genetic Algorithm,1000,44,12170,5.49224,True,0
Genetic Algorithm,100,42,18375,2.693758,False,334
Genetic Algorithm,100,43,23240,2.598044,False,331
